ID,Transfers,Year
207591,2,2016
207754,2,2016
208085,2,2016
210186,2,2016
210643,2,2016
212309,2,2016
212773,2,2016
216150,2,2016
218407,2,2016
218646,2,2016
220162,2,2016
221013,2,2016
221740,2,2016
222327,2,2016
222677,2,2016
222680,2,2016
223767,2,2016
224299,2,2016
224825,2,2016
224955,2,2016
226986,2,2016
227825,2,2016
228684,2,2016
229829,2,2016
230664,2,2016
233118,2,2016
234978,2,2016
235714,2,2016
236969,2,2016
237475,2,2016
237799,2,2016
241104,2,2016
241351,2,2016
243127,2,2016
245293,2,2016
246038,2,2016
247017,2,2016
247722,2,2016
247813,2,2016
247863,2,2016
248210,2,2016
248666,2,2016
251006,2,2016
251523,2,2016
251611,2,2016
252346,2,2016
252720,2,2016
252911,2,2016
254635,2,2016
256023,2,2016
256396,2,2016
256623,2,2016
259062,2,2016
259362,2,2016
259993,2,2016
261503,2,2016
262124,2,2016
264307,2,2016
264325,2,2016
265343,2,2016
265738,2,2016
266023,2,2016
266796,2,2016
266947,2,2016
267002,2,2016
267958,2,2016
268282,2,2016
269264,2,2016
269615,2,2016
270378,2,2016
270930,2,2016
271533,2,2016
273115,2,2016
273936,2,2016
274283,2,2016
274639,2,2016
275192,2,2016
275233,2,2016
278195,2,2016
278883,2,2016
279093,2,2016
279149,2,2016
280435,2,2016
280642,2,2016
281453,2,2016
283101,2,2016
283877,2,2016
284312,2,2016
284535,2,2016
285757,2,2016
287039,2,2016
287392,2,2016
288006,2,2016
288920,2,2016
290131,2,2016
290960,2,2016
291359,2,2016
291683,2,2016
291684,2,2016
291957,2,2016
292087,2,2016
292462,2,2016
294035,2,2016
294195,2,2016
294434,2,2016
294765,2,2016
294866,2,2016
294868,2,2016
296693,2,2016
296807,2,2016
297005,2,2016
297887,2,2016
299140,2,2016
299732,2,2016
300023,2,2016
300255,2,2016
301692,2,2016
301999,2,2016
303180,2,2016
307184,2,2016
308140,2,2016
308497,2,2016
308551,2,2016
310259,2,2016
310367,2,2016
311273,2,2016
311708,2,2016
311778,2,2016
313174,2,2016
313387,2,2016
313495,2,2016
313595,2,2016
313906,2,2016
314391,2,2016
314751,2,2016
315786,2,2016
315942,2,2016
316007,2,2016
316183,2,2016
318203,2,2016
322363,2,2016
322735,2,2016
323853,2,2016
324296,2,2016
324874,2,2016
325057,2,2016
325380,2,2016
327765,2,2016
330246,2,2016
330785,2,2016
331665,2,2016
333595,2,2016
334656,2,2016
336919,2,2016
337138,2,2016
337382,2,2016
338587,2,2016
340060,2,2016
340660,2,2016
341119,2,2016
341815,2,2016
343281,2,2016
343761,2,2016
343808,2,2016
344562,2,2016
345160,2,2016
345316,2,2016
345582,2,2016
346491,2,2016
347165,2,2016
349795,2,2016
351562,2,2016
351792,2,2016
352927,2,2016
353225,2,2016
353510,2,2016
